"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 13 12:46:41 IST 2023","Fri Oct 13 12:47:04 IST 2023","23358","webkit","LoginPageTest.spec.js","","","","InValid Login test mngr532163",""
"broken","Thu Oct 12 12:48:05 IST 2023","Thu Oct 12 12:48:41 IST 2023","35989","firefox","NewCustomerTest.spec.js","","","","Create Customer Test mngr532163",""
"passed","Fri Oct 13 12:45:56 IST 2023","Fri Oct 13 12:46:27 IST 2023","31105","firefox","LoginPageTest.spec.js","","","","InValid Login test mngr532163",""
"broken","Thu Oct 12 12:48:04 IST 2023","Thu Oct 12 12:48:39 IST 2023","34585","firefox","NewCustomerTest.spec.js","","","","Create Customer Test mngr531957",""
"broken","Fri Oct 13 12:45:10 IST 2023","Fri Oct 13 12:45:51 IST 2023","40627","chromium","LoginPageTest.spec.js","","","","Valid Login test mngr532163",""
"passed","Fri Oct 13 12:46:39 IST 2023","Fri Oct 13 12:47:04 IST 2023","25164","webkit","LoginPageTest.spec.js","","","","InValid Login test mngr531957",""
"broken","Fri Oct 13 12:45:51 IST 2023","Fri Oct 13 12:46:39 IST 2023","48490","firefox","LoginPageTest.spec.js","","","","Valid Login test mngr531957",""
"broken","Fri Oct 13 12:45:52 IST 2023","Fri Oct 13 12:46:37 IST 2023","45332","firefox","LoginPageTest.spec.js","","","","InValid Login test mngr531957",""
"broken","Thu Oct 12 12:48:45 IST 2023","Thu Oct 12 12:49:17 IST 2023","31207","webkit","NewCustomerTest.spec.js","","","","Create Customer Test mngr531957",""
"broken","Fri Oct 13 12:45:10 IST 2023","Fri Oct 13 12:45:52 IST 2023","41468","chromium","LoginPageTest.spec.js","","","","Valid Login test mngr531957",""
"passed","Fri Oct 13 12:46:32 IST 2023","Fri Oct 13 12:47:02 IST 2023","29263","webkit","LoginPageTest.spec.js","","","","Valid Login test mngr531957",""
"broken","Thu Oct 12 12:46:04 IST 2023","Thu Oct 12 12:46:36 IST 2023","31889","chromium","NewCustomerTest.spec.js","","","","Create Customer Test mngr531957",""
"broken","Fri Oct 13 12:45:10 IST 2023","Fri Oct 13 12:45:49 IST 2023","38722","chromium","LoginPageTest.spec.js","","","","InValid Login test mngr531957",""
"broken","Thu Oct 12 12:48:53 IST 2023","Thu Oct 12 12:49:24 IST 2023","31006","webkit","NewCustomerTest.spec.js","","","","Create Customer Test mngr532163",""
"broken","Thu Oct 12 12:46:32 IST 2023","Thu Oct 12 12:47:10 IST 2023","37125","chromium","NewCustomerTest.spec.js","","","","Create Customer Test mngr532163",""
"broken","Fri Oct 13 12:45:10 IST 2023","Fri Oct 13 12:45:54 IST 2023","44406","chromium","LoginPageTest.spec.js","","","","InValid Login test mngr532163",""
"passed","Fri Oct 13 12:46:40 IST 2023","Fri Oct 13 12:47:06 IST 2023","25662","webkit","LoginPageTest.spec.js","","","","Valid Login test mngr532163",""
"broken","Fri Oct 13 12:45:53 IST 2023","Fri Oct 13 12:46:38 IST 2023","45092","firefox","LoginPageTest.spec.js","","","","Valid Login test mngr532163",""
